"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1358","Registration with correct email, username, password","LMS system","2025-12-12","passed","2025-12-12","Registration","Authentication","",""
"","1211","Check displaying of empty course list","LMS system","2025-12-12","passed","2025-12-12","Courses","Courses","",""
"","1402","User login with wrong email or password","LMS system","2025-12-12","passed","2025-12-12","Authorization","Authentication","",""
"","1754","User login with correct email and password","LMS system","2025-12-12","passed","2025-12-12","Authorization","Authentication","",""
"","1164","User login with wrong email or password","LMS system","2025-12-12","passed","2025-12-12","Authorization","Authentication","",""
"","1347","Check displaying of dashboard page","LMS system","2025-12-12","passed","2025-12-12","Dashboard","Dashboard","",""
"","1177","User login with wrong email or password","LMS system","2025-12-12","passed","2025-12-12","Authorization","Authentication","",""
"","1159","Navigation from login page to registration page","LMS system","2025-12-12","passed","2025-12-12","Authorization","Authentication","",""
"","2989","test_edit_course[chromium]","LMS system","2025-12-12","passed","2025-12-12","Courses","Courses","",""
"","2630","Create course","LMS system","2025-12-12","passed","2025-12-12","Courses","Courses","",""
